,GDPpc,Region,IncomeGroup,Population,location,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
42,3414.92486968779,Middle East & North Africa,Lower middle,973560.0,Djibouti,DJI,26796.0,12547.0,8810.0,59563.0,247.0,2.71,1.27,0.89,250.0
43,8110.56851191655,Latin America & Caribbean,Upper middle,71808.0,Dominica,DMA,39309.0,20302.0,19007.0,270.0,140.0,54.6,28.2,26.4,1945.0
44,60213.0921454746,Europe & Central Asia,High,5814422.0,Denmark,DNK,3199121.0,3344032.0,1964839.0,59563.0,46434.0,55.23,57.73,33.92,8017.0
45,8282.11635935324,Latin America & Caribbean,Upper middle,10738958.0,Dominican Republic,DOM,7842179.0,4949582.0,2892597.0,96141.0,62849.0,72.29,45.63,26.67,5794.0
46,3973.96407191565,Middle East & North Africa,Lower middle,43053054.0,Algeria,DZA,2500000.0,2500000.0,403504.0,30.0,22664.0,5.7,5.7,14.02,517.0
47,6183.823824821729,Latin America & Caribbean,Upper middle,17373662.0,Ecuador,ECU,4152557.0,2793332.0,1359225.0,61531.0,61025.0,23.54,15.83,7.7,3459.0
48,29564.7448981723,Europe & Central Asia,High,47133521.0,Spain,ESP,41279995.0,25320606.0,17519587.0,714957.0,531338.0,88.29,54.16,37.47,11364.0
49,23717.799451233703,Europe & Central Asia,High,1326898.0,Estonia,EST,956006.0,559877.0,396129.0,8860.0,5927.0,72.07,42.21,29.86,4468.0
50,855.7608622808381,Sub-Saharan Africa,Low,112078730.0,Ethiopia,ETH,1989297.0,1894717.0,10392.0,395.0,1906.0,1.73,1.65,0.9,17.0
51,34913.1915566094,,,447580063.0,European Union,OWID_EUN,363858980.0,226198341.0,148250257.0,2987977.0,3463389.0,81.78,50.84,33.32,7784.0
52,48771.37379602809,Europe & Central Asia,High,5521606.0,Finland,FIN,4322972.0,3290624.0,1032348.0,19.0,44461.0,78.02,59.39,18.63,8024.0
53,6175.88872032104,East Asia & Pacific,Upper middle,889953.0,Fiji,FJI,322299.0,278954.0,43345.0,28295.0,6036.0,35.95,31.12,4.84,6733.0
54,40496.3640344875,Europe & Central Asia,High,67055854.0,France,FRA,53787196.0,33740554.0,20598137.0,682260.0,579764.0,79.61,49.94,30.49,8581.0
55,7767.0134044078795,Sub-Saharan Africa,Upper middle,2172579.0,Gabon,GAB,56768.0,38496.0,18272.0,1486.0,1060.0,2.55,1.73,0.82,476.0
